Indviduals_ID,Wellplate_location,Sex
ID_220421_6,E7,F
ID_220421_6,F2,F
ID_220421_6,F3,F
ID_220421_6,F4,F
ID_220421_6,F5,F
ID_220421_7,A3,F
ID_220421_7,A5,F
ID_220421_7,A6,F
ID_220421_7,A7,F
ID_220421_7,B1,F
ID_220421_7,B4,F
ID_220421_7,B7,F
ID_220421_7,B8,F
ID_220421_7,C2,F
ID_220421_7,C4,F
ID_220421_7,C7,F
ID_220421_7,D1,F
ID_220421_7,D2,F
ID_220421_7,D3,F
ID_220421_7,D5,F
ID_220421_7,D7,F
ID_220421_7,E1,F
ID_220421_7,E3,F
ID_220421_7,E5,F
ID_220421_7,E6,F
ID_220421_7,E7,F
ID_220421_7,E8,F
ID_220421_7,F1,F
ID_220421_7,F2,F
ID_220421_7,F4,F
ID_220421_7,F5,F
ID_220421_8,A1,F
ID_220421_8,A4,F
ID_220421_8,A7,F
ID_220421_8,A8,F
ID_220421_8,B1,F
ID_220421_8,B3,F
ID_220421_8,B5,F
ID_220421_8,C1,F
ID_220421_8,C3,F
ID_220421_8,C4,F
ID_220421_8,C7,F
ID_220421_8,C8,F
ID_220421_8,D1,F
ID_220421_8,D2,F
ID_220421_8,D3,F
ID_220421_8,D4,F
ID_220421_8,D7,F
ID_220421_8,D8,F
ID_220421_8,E2,F
ID_220421_8,E4,F
ID_220421_8,E6,F
ID_220421_8,E7,F
ID_220421_8,F4,F
ID_220421_8,F5,F
ID_210421_1,A2,M
ID_210421_1,A3,M
ID_210421_1,A8,M
ID_210421_1,B5,M
ID_210421_1,C1,M
ID_210421_1,C5,M
ID_210421_1,C6,M
ID_210421_1,D4,M
ID_210421_1,D5,M
ID_210421_1,D7,M
ID_210421_1,D8,M
ID_210421_1,E1,M
ID_210421_1,E2,M
ID_210421_1,E3,M
ID_210421_1,E6,M
ID_210421_1,F2,M
ID_210421_2,A1,M
ID_210421_2,A4,M
ID_210421_2,A5,M
ID_210421_2,A7,M
ID_210421_2,B2,M
ID_210421_2,B3,M
ID_210421_2,B8,M
ID_210421_2,C2,M
ID_210421_2,C4,M
ID_210421_2,E1,M
ID_210421_2,E4,M
ID_210421_2,E5,M
ID_210421_2,E6,M
ID_210421_2,E7,M
ID_210421_2,E8,M
ID_210421_3,A1,M
ID_210421_3,A3,M
ID_210421_3,A5,M
ID_210421_3,A6,M
ID_210421_3,A8,M
ID_210421_3,B1,M
ID_210421_3,B2,M
ID_210421_3,B6,M
ID_210421_3,B8,M
ID_210421_3,C3,M
ID_210421_3,C6,M
ID_210421_3,C8,M
ID_210421_3,D2,M
ID_210421_3,D3,M
ID_210421_3,D5,M
ID_210421_3,D6,M
ID_210421_3,E1,M
ID_210421_3,E2,M
ID_210421_3,E5,M
ID_210421_3,E6,M
ID_210421_3,E7,M
ID_210421_3,E8,M
ID_210421_3,F1,M
ID_210421_3,F3,M
ID_210421_3,F5,M
ID_210421_4,A1,M
ID_210421_4,A3,M
ID_210421_4,A6,M
ID_210421_4,A7,M
ID_210421_4,B2,M
ID_210421_4,B4,M
ID_210421_4,B6,M
ID_210421_4,B8,M
ID_210421_4,C3,M
ID_210421_4,C7,M
ID_210421_4,D1,M
ID_210421_4,D4,M
ID_210421_4,D8,M
ID_210421_4,E1,M
ID_210421_4,E2,M
ID_210421_4,E5,M
ID_210421_4,E8,M
ID_210421_4,F2,M
ID_210421_4,F4,M
ID_220421_5,A3,M
ID_220421_5,A5,M
ID_220421_5,A6,M
ID_220421_5,B1,M
ID_220421_5,B6,M
ID_220421_5,C1,M
ID_220421_5,C3,M
ID_220421_5,C6,M
ID_220421_5,C7,M
ID_220421_5,D1,M
ID_220421_5,D3,M
ID_220421_5,D6,M
ID_220421_5,E2,M
ID_220421_5,E3,M
ID_220421_5,F4,M
ID_220421_6,A2,M
ID_220421_6,A3,M
ID_220421_6,A5,M
ID_220421_6,A6,M
ID_220421_6,B2,M
ID_220421_6,B7,M
ID_220421_6,C4,M
ID_220421_6,C5,M
ID_220421_6,D4,M
ID_220421_6,D5,M
ID_220421_6,D6,M
ID_220421_6,D7,M
ID_220421_6,E4,M
ID_220421_6,E8,M
ID_220421_6,F1,M
ID_220421_7,A1,M
ID_220421_7,A2,M
ID_220421_7,A4,M
ID_220421_7,A8,M
ID_220421_7,B2,M
ID_220421_7,B3,M
ID_220421_7,B5,M
ID_220421_7,B6,M
ID_220421_7,C1,M
ID_220421_7,C3,M
ID_220421_7,C5,M
ID_220421_7,C6,M
ID_220421_7,C8,M
ID_220421_7,D4,M
ID_220421_7,D6,M
ID_220421_7,D8,M
ID_220421_7,E2,M
ID_220421_7,E4,M
ID_220421_7,F3,M
ID_220421_8,A2,M
ID_220421_8,A3,M
ID_220421_8,A5,M
ID_220421_8,A6,M
ID_220421_8,B2,M
ID_220421_8,B4,M
ID_220421_8,B7,M
ID_220421_8,B8,M
ID_220421_8,C2,M
ID_220421_8,C5,M
ID_220421_8,C6,M
ID_220421_8,D5,M
ID_220421_8,D6,M
ID_220421_8,E1,M
ID_220421_8,E3,M
ID_220421_8,E5,M
ID_220421_8,E8,M
ID_220421_8,F1,M
ID_220421_8,F2,M
ID_220421_8,F3,M
ID_210421_1,A6,NA
ID_210421_1,B3,NA
ID_210421_1,C2,NA
ID_220421_8,B6,NA
